Station ID,Latitude,Longitude,Address,Charger Type,Cost (USD/kWh),Availability,Distance to City (km),Usage Stats (avg users/day),Station Operator,Charging Capacity (kW),Connector Types,Installation Year,Renewable Energy Source,Reviews (Rating),Parking Spots,Maintenance Frequency
EVS00638,18.921718,72.952446,"1277 Mumbai Ave, Mumbai",AC Level 2,0.13,24/7,2.73,12,Tesla,22,CCS,2015,Yes,3.9,4,Annually
EVS00639,39.839128,116.339035,"8575 Beijing Ave, Beijing",AC Level 2,0.21,24/7,3.16,35,Tesla,50,CHAdeMO,2021,Yes,4.6,2,Quarterly
EVS00640,41.957508,-87.713475,"8799 Chicago Ave, Chicago",AC Level 1,0.12,9:00-18:00,19.38,76,EVgo,150,Type 2,2022,No,3.2,8,Quarterly
EVS00641,-83.184662,4.729684,"826 Random Rd, City 378, Country",AC Level 2,0.14,9:00-18:00,4.19,22,EVgo,150,"CCS, CHAdeMO",2020,No,4.8,9,Annually
EVS00642,-33.87865,18.494872,"9874 Cape Town Ave, Cape Town",DC Fast Charger,0.12,9:00-18:00,16.96,50,Ionity,50,Tesla,2013,Yes,4.1,7,Annually
EVS00643,19.431563,-99.08212,"9288 Mexico City Ave, Mexico City",AC Level 1,0.21,24/7,10.97,27,Greenlots,350,"Type 2, Tesla",2017,No,4.0,1,Quarterly
EVS00644,18.987631,72.819973,"5095 Mumbai Ave, Mumbai",AC Level 2,0.38,24/7,13.22,70,Tesla,50,Type 2,2017,Yes,3.8,8,Quarterly
EVS00645,37.824611,-122.474406,"9740 San Francisco Ave, San Francisco",AC Level 2,0.41,6:00-22:00,2.88,52,Greenlots,350,Type 2,2014,No,3.2,8,Annually
EVS00646,34.172633,-118.254905,"1258 Los Angeles Ave, Los Angeles",AC Level 2,0.21,6:00-22:00,9.34,24,Tesla,150,Type 2,2011,Yes,4.2,2,Annually
EVS00647,18.933256,72.988239,"2728 Mumbai Ave, Mumbai",AC Level 2,0.44,24/7,0.99,98,Greenlots,50,CHAdeMO,2010,Yes,4.1,7,Quarterly
EVS00648,37.812672,-122.484604,"6647 San Francisco Ave, San Francisco",AC Level 2,0.27,6:00-22:00,2.6,89,Greenlots,50,CHAdeMO,2011,No,3.7,7,Monthly
EVS00649,37.72623,-122.438917,"7494 San Francisco Ave, San Francisco",DC Fast Charger,0.27,24/7,1.79,91,Tesla,150,CHAdeMO,2016,No,4.6,9,Monthly
EVS00650,52.520378,13.309874,"5538 Berlin Ave, Berlin",AC Level 1,0.29,24/7,7.91,31,ChargePoint,350,"CHAdeMO, CCS",2017,Yes,3.8,6,Annually
EVS00651,0.634947,-155.488034,"6747 Random Rd, City 92, Country",DC Fast Charger,0.15,9:00-18:00,10.16,39,Tesla,50,CHAdeMO,2022,No,4.3,3,Annually
EVS00652,34.132142,-118.302963,"9820 Los Angeles Ave, Los Angeles",AC Level 2,0.16,9:00-18:00,7.02,31,Ionity,50,"Tesla, Type 2",2017,No,4.3,9,Quarterly
EVS00653,37.770374,-122.312193,"422 San Francisco Ave, San Francisco",AC Level 2,0.13,6:00-22:00,6.44,91,Tesla,50,Type 2,2010,No,4.0,6,Annually
EVS00654,43.733377,-79.401244,"8425 Toronto Ave, Toronto",AC Level 2,0.35,9:00-18:00,6.01,36,Tesla,50,Type 2,2012,No,4.5,9,Quarterly
EVS00655,39.815507,116.480064,"3530 Beijing Ave, Beijing",AC Level 2,0.1,9:00-18:00,11.89,85,ChargePoint,350,"CHAdeMO, Type 2",2023,No,3.1,4,Monthly
EVS00656,-33.88237,151.370189,"10 Sydney Ave, Sydney",AC Level 2,0.13,9:00-18:00,7.07,85,Tesla,150,"Tesla, CCS",2021,Yes,4.9,1,Annually
EVS00657,37.814073,-122.389339,"810 San Francisco Ave, San Francisco",AC Level 2,0.42,24/7,18.62,40,Tesla,350,CHAdeMO,2014,No,4.4,6,Quarterly
EVS00658,13.837329,100.403735,"1142 Bangkok Ave, Bangkok",AC Level 2,0.27,6:00-22:00,14.19,79,Ionity,22,Tesla,2018,No,4.0,9,Monthly
EVS00659,39.922166,116.206515,"4645 Beijing Ave, Beijing",AC Level 1,0.29,6:00-22:00,10.75,63,ChargePoint,22,"Tesla, CHAdeMO",2013,Yes,3.3,1,Annually
EVS00660,41.954383,-87.64726,"1787 Chicago Ave, Chicago",AC Level 2,0.27,6:00-22:00,11.93,53,EVgo,150,"CHAdeMO, CCS",2012,Yes,3.2,3,Monthly
EVS00661,13.3136,-170.999427,"9591 Random Rd, City 452, Country",AC Level 1,0.16,9:00-18:00,10.37,42,EVgo,50,"Tesla, CHAdeMO",2021,No,4.7,5,Monthly
EVS00662,19.531243,-99.181667,"8458 Mexico City Ave, Mexico City",DC Fast Charger,0.47,9:00-18:00,9.73,55,Greenlots,50,Tesla,2015,Yes,4.7,6,Quarterly
EVS00663,37.568225,126.980065,"844 Seoul Ave, Seoul",DC Fast Charger,0.49,24/7,2.17,87,EVgo,350,CHAdeMO,2012,No,3.7,7,Monthly
EVS00664,25.330827,55.311826,"6138 Dubai Ave, Dubai",DC Fast Charger,0.34,6:00-22:00,15.96,48,Ionity,22,"Tesla, CHAdeMO",2011,Yes,4.2,7,Monthly
EVS00665,39.904285,116.294109,"482 Beijing Ave, Beijing",AC Level 2,0.46,6:00-22:00,3.57,18,Ionity,350,"CCS, Type 2",2016,Yes,3.3,4,Monthly
EVS00666,18.90395,72.813134,"3856 Mumbai Ave, Mumbai",DC Fast Charger,0.14,24/7,16.46,13,Ionity,150,"Tesla, Type 2",2023,No,3.7,1,Quarterly
EVS00667,-33.820001,151.398893,"6112 Sydney Ave, Sydney",AC Level 1,0.28,6:00-22:00,14.51,70,Ionity,150,"Tesla, CHAdeMO",2021,Yes,3.2,2,Monthly
EVS00668,18.983008,72.964256,"8121 Mumbai Ave, Mumbai",AC Level 2,0.22,6:00-22:00,10.97,49,ChargePoint,50,Tesla,2019,Yes,3.1,7,Monthly
EVS00669,19.555677,-99.149568,"1042 Mexico City Ave, Mexico City",AC Level 2,0.11,24/7,7.7,59,Tesla,50,"CHAdeMO, CCS",2014,No,4.1,2,Quarterly
EVS00670,-33.804519,18.447956,"63 Cape Town Ave, Cape Town",AC Level 2,0.46,6:00-22:00,15.63,12,ChargePoint,50,"CCS, CHAdeMO",2021,Yes,3.7,2,Quarterly
EVS00671,-38.401154,-94.166021,"2766 Random Rd, City 69, Country",DC Fast Charger,0.41,24/7,19.35,67,Ionity,350,CCS,2010,Yes,4.7,9,Annually
EVS00672,34.082281,-118.224352,"9585 Los Angeles Ave, Los Angeles",DC Fast Charger,0.2,6:00-22:00,18.06,74,Ionity,22,Tesla,2011,Yes,4.7,6,Annually
EVS00673,55.760189,37.650434,"5959 Moscow Ave, Moscow",DC Fast Charger,0.48,9:00-18:00,11.91,45,Greenlots,350,CCS,2020,Yes,3.4,7,Quarterly
EVS00674,52.568748,13.352207,"5034 Berlin Ave, Berlin",AC Level 1,0.34,9:00-18:00,13.45,45,Tesla,50,"Type 2, CCS",2023,Yes,4.8,2,Quarterly
EVS00675,52.541054,13.492239,"2939 Berlin Ave, Berlin",AC Level 1,0.28,24/7,2.7,100,Greenlots,50,CHAdeMO,2019,No,3.6,3,Quarterly
EVS00676,19.529929,-99.124187,"4834 Mexico City Ave, Mexico City",AC Level 1,0.11,9:00-18:00,17.73,63,EVgo,22,"CCS, CHAdeMO",2015,No,4.7,4,Monthly
EVS00677,13.891963,100.599469,"5174 Bangkok Ave, Bangkok",AC Level 2,0.2,6:00-22:00,11.53,56,Tesla,50,"Type 2, CHAdeMO",2012,Yes,3.5,7,Annually
EVS00678,-33.789102,151.349204,"870 Sydney Ave, Sydney",AC Level 2,0.37,9:00-18:00,3.79,74,EVgo,150,Tesla,2018,Yes,4.3,7,Monthly
EVS00679,13.730673,100.5573,"2474 Bangkok Ave, Bangkok",AC Level 1,0.46,24/7,6.73,95,Greenlots,50,"CHAdeMO, Tesla",2022,Yes,3.3,3,Monthly
EVS00680,41.829824,-87.776416,"9442 Chicago Ave, Chicago",AC Level 2,0.24,9:00-18:00,4.09,49,Tesla,22,"Type 2, CHAdeMO",2015,Yes,4.3,5,Monthly
EVS00681,-65.289391,-166.431613,"6231 Random Rd, City 229, Country",AC Level 1,0.16,6:00-22:00,11.2,46,Tesla,350,"Type 2, CCS",2023,Yes,4.8,1,Quarterly
EVS00682,37.723098,-122.425579,"5916 San Francisco Ave, San Francisco",DC Fast Charger,0.5,6:00-22:00,4.09,17,Ionity,350,Type 2,2012,No,5.0,4,Monthly
EVS00683,19.463342,-99.142175,"270 Mexico City Ave, Mexico City",DC Fast Charger,0.38,24/7,18.87,26,EVgo,22,"CHAdeMO, CCS",2014,Yes,5.0,4,Monthly
EVS00684,25.363032,55.273648,"3593 Dubai Ave, Dubai",DC Fast Charger,0.21,6:00-22:00,7.08,60,ChargePoint,150,Tesla,2012,Yes,3.8,3,Annually
EVS00685,37.746507,-122.329647,"3717 San Francisco Ave, San Francisco",AC Level 2,0.19,6:00-22:00,14.34,76,Ionity,50,"CHAdeMO, Type 2",2010,Yes,3.4,3,Monthly
EVS00686,-33.75282,18.459013,"9567 Cape Town Ave, Cape Town",AC Level 2,0.45,6:00-22:00,18.33,81,EVgo,50,CHAdeMO,2015,No,3.2,9,Annually
EVS00687,-33.868929,151.344962,"2924 Sydney Ave, Sydney",AC Level 1,0.34,9:00-18:00,14.81,25,Greenlots,150,"CHAdeMO, Tesla",2020,No,4.9,5,Annually
EVS00688,37.543691,126.993188,"6541 Seoul Ave, Seoul",AC Level 1,0.28,9:00-18:00,7.6,56,Tesla,150,Tesla,2023,Yes,4.3,10,Annually
EVS00689,19.026976,72.995423,"9843 Mumbai Ave, Mumbai",AC Level 2,0.19,6:00-22:00,3.53,94,Greenlots,350,Tesla,2011,Yes,4.8,8,Monthly
EVS00690,25.351373,55.380514,"8140 Dubai Ave, Dubai",AC Level 1,0.24,9:00-18:00,1.66,96,Greenlots,150,Type 2,2015,Yes,3.8,7,Annually
EVS00691,-3.262639,59.851446,"6605 Random Rd, City 437, Country",AC Level 2,0.17,6:00-22:00,18.04,24,Tesla,50,CCS,2021,Yes,4.6,8,Annually
EVS00692,37.705789,-122.468307,"998 San Francisco Ave, San Francisco",DC Fast Charger,0.11,6:00-22:00,6.75,31,Tesla,22,"CHAdeMO, Type 2",2023,Yes,4.9,5,Quarterly
EVS00693,13.854151,100.504515,"220 Bangkok Ave, Bangkok",AC Level 1,0.39,6:00-22:00,2.71,21,ChargePoint,350,Tesla,2012,Yes,4.5,4,Monthly
EVS00694,55.719927,37.532326,"2481 Moscow Ave, Moscow",AC Level 2,0.42,6:00-22:00,5.47,49,Ionity,150,CHAdeMO,2020,No,3.2,3,Monthly
EVS00695,39.882212,116.38481,"2999 Beijing Ave, Beijing",AC Level 1,0.46,24/7,14.19,41,ChargePoint,150,"Tesla, CHAdeMO",2013,No,4.8,5,Monthly
EVS00696,19.56874,-99.12751,"227 Mexico City Ave, Mexico City",DC Fast Charger,0.4,6:00-22:00,1.72,73,Greenlots,22,Tesla,2017,No,3.7,4,Monthly
EVS00697,52.453432,13.364112,"1545 Berlin Ave, Berlin",DC Fast Charger,0.29,6:00-22:00,10.95,98,Ionity,50,Tesla,2010,No,4.8,5,Annually
EVS00698,37.642391,127.046116,"9416 Seoul Ave, Seoul",DC Fast Charger,0.19,9:00-18:00,7.44,80,Greenlots,150,"CHAdeMO, CCS",2021,No,3.5,6,Annually
EVS00699,41.917039,-87.670434,"2730 Chicago Ave, Chicago",AC Level 2,0.43,9:00-18:00,8.72,42,ChargePoint,350,"CHAdeMO, CCS",2016,Yes,3.8,2,Monthly
EVS00700,18.904943,72.910045,"223 Mumbai Ave, Mumbai",DC Fast Charger,0.25,24/7,12.11,54,EVgo,50,"CHAdeMO, CCS",2018,No,3.6,7,Quarterly
EVS00701,36.953117,86.817203,"9726 Random Rd, City 164, Country",AC Level 1,0.49,24/7,1.87,85,Greenlots,50,Tesla,2022,No,4.8,1,Monthly
EVS00702,41.886104,-87.720541,"2970 Chicago Ave, Chicago",DC Fast Charger,0.22,9:00-18:00,15.63,63,Tesla,150,"CHAdeMO, Type 2",2020,Yes,4.9,1,Quarterly
EVS00703,19.528758,-99.139428,"400 Mexico City Ave, Mexico City",AC Level 2,0.5,9:00-18:00,6.05,53,Tesla,22,"CHAdeMO, Tesla",2022,No,3.4,10,Monthly
EVS00704,-33.830748,18.517639,"7310 Cape Town Ave, Cape Town",AC Level 1,0.49,6:00-22:00,2.62,92,EVgo,350,CHAdeMO,2023,Yes,3.9,7,Monthly
EVS00705,34.176882,-118.351828,"7870 Los Angeles Ave, Los Angeles",AC Level 1,0.32,6:00-22:00,12.8,95,Greenlots,50,Tesla,2011,No,5.0,10,Quarterly
EVS00706,41.936576,-87.796223,"3411 Chicago Ave, Chicago",DC Fast Charger,0.22,6:00-22:00,7.59,73,Tesla,22,Tesla,2018,No,3.2,8,Annually
EVS00707,55.813001,37.607075,"409 Moscow Ave, Moscow",AC Level 2,0.47,6:00-22:00,17.21,93,Tesla,150,CHAdeMO,2019,Yes,3.7,3,Quarterly
EVS00708,55.887007,37.585573,"988 Moscow Ave, Moscow",AC Level 2,0.26,24/7,11.06,40,Tesla,50,"CHAdeMO, Tesla",2018,Yes,3.8,3,Monthly
EVS00709,52.53155,13.454333,"4221 Berlin Ave, Berlin",DC Fast Charger,0.44,24/7,4.63,37,Tesla,50,CHAdeMO,2022,Yes,4.1,1,Annually
EVS00710,-33.874737,18.560111,"8055 Cape Town Ave, Cape Town",AC Level 1,0.41,9:00-18:00,2.5,71,Ionity,22,"CHAdeMO, Tesla",2022,No,4.0,1,Monthly
EVS00711,-3.003449,125.537403,"9899 Random Rd, City 245, Country",AC Level 2,0.17,6:00-22:00,6.44,15,Tesla,22,Tesla,2011,No,4.1,5,Monthly
EVS00712,41.903629,-87.77526,"1044 Chicago Ave, Chicago",AC Level 2,0.2,6:00-22:00,1.15,91,ChargePoint,50,CHAdeMO,2010,Yes,4.6,1,Monthly
EVS00713,43.605411,-79.461812,"4875 Toronto Ave, Toronto",DC Fast Charger,0.5,9:00-18:00,2.99,67,Greenlots,350,"Type 2, Tesla",2019,Yes,4.1,6,Annually
EVS00714,39.862598,116.30924,"1748 Beijing Ave, Beijing",AC Level 2,0.23,9:00-18:00,13.58,84,Tesla,50,"Tesla, CCS",2013,No,4.7,1,Monthly
EVS00715,34.131131,-118.308493,"4537 Los Angeles Ave, Los Angeles",DC Fast Charger,0.1,6:00-22:00,3.76,56,Ionity,22,CHAdeMO,2023,Yes,4.3,2,Annually
EVS00716,13.867225,100.47929,"2730 Bangkok Ave, Bangkok",DC Fast Charger,0.3,6:00-22:00,2.68,65,Greenlots,350,CCS,2017,No,4.3,4,Quarterly
EVS00717,43.744934,-79.347742,"7564 Toronto Ave, Toronto",AC Level 1,0.36,9:00-18:00,12.59,96,Ionity,150,CCS,2020,No,3.8,5,Quarterly
EVS00718,41.943474,-87.653727,"1371 Chicago Ave, Chicago",AC Level 2,0.46,9:00-18:00,12.31,97,Tesla,50,"CHAdeMO, Type 2",2020,No,3.6,8,Quarterly
EVS00719,13.777899,100.553149,"7122 Bangkok Ave, Bangkok",AC Level 2,0.31,6:00-22:00,9.24,48,EVgo,350,CHAdeMO,2013,Yes,5.0,8,Quarterly
EVS00720,41.939734,-87.767645,"9356 Chicago Ave, Chicago",AC Level 2,0.13,9:00-18:00,7.48,17,Tesla,150,"Tesla, CCS",2015,Yes,3.3,4,Monthly
EVS00721,32.388876,-160.990132,"1220 Random Rd, City 311, Country",DC Fast Charger,0.1,24/7,14.0,74,ChargePoint,50,"CCS, CHAdeMO",2019,Yes,3.4,1,Monthly
EVS00722,43.735573,-79.34851,"2342 Toronto Ave, Toronto",DC Fast Charger,0.29,9:00-18:00,1.49,81,Tesla,150,Type 2,2011,Yes,3.6,8,Quarterly
EVS00723,52.581069,13.452109,"1689 Berlin Ave, Berlin",AC Level 1,0.45,24/7,10.39,39,Ionity,150,"CHAdeMO, Tesla",2023,No,4.8,8,Quarterly
EVS00724,37.602713,126.922362,"6132 Seoul Ave, Seoul",AC Level 1,0.44,24/7,2.98,41,ChargePoint,150,"CHAdeMO, CCS",2017,Yes,3.3,2,Annually
EVS00725,43.613981,-79.427142,"5619 Toronto Ave, Toronto",AC Level 1,0.48,6:00-22:00,1.9,84,EVgo,22,"Tesla, Type 2",2022,No,3.9,6,Monthly
EVS00726,55.850404,37.504151,"3809 Moscow Ave, Moscow",AC Level 1,0.27,24/7,9.84,71,Ionity,50,"CCS, Type 2",2015,No,4.1,8,Quarterly
EVS00727,55.844491,37.675473,"560 Moscow Ave, Moscow",AC Level 2,0.4,9:00-18:00,13.32,44,EVgo,50,"Tesla, Type 2",2011,No,4.6,7,Annually
EVS00728,55.740953,37.677421,"8930 Moscow Ave, Moscow",AC Level 2,0.28,6:00-22:00,0.71,23,Tesla,350,CCS,2017,Yes,4.5,5,Monthly
EVS00729,55.793066,37.541996,"1882 Moscow Ave, Moscow",AC Level 1,0.47,24/7,7.9,46,Ionity,150,"Tesla, CHAdeMO",2011,Yes,3.5,1,Monthly
EVS00730,-33.717843,18.412713,"284 Cape Town Ave, Cape Town",DC Fast Charger,0.26,24/7,7.08,48,EVgo,350,CHAdeMO,2021,Yes,4.2,9,Annually
EVS00731,56.879558,-68.582214,"4434 Random Rd, City 403, Country",DC Fast Charger,0.36,9:00-18:00,8.39,20,Ionity,50,"Type 2, CCS",2014,No,3.9,10,Quarterly
EVS00732,34.118738,-118.327895,"1756 Los Angeles Ave, Los Angeles",AC Level 2,0.12,6:00-22:00,7.96,26,Tesla,50,"CCS, Tesla",2021,Yes,4.9,6,Quarterly
EVS00733,37.538673,126.904016,"5244 Seoul Ave, Seoul",AC Level 1,0.4,9:00-18:00,4.15,72,ChargePoint,50,Type 2,2022,Yes,4.6,10,Quarterly
EVS00734,37.637762,126.966266,"4610 Seoul Ave, Seoul",AC Level 2,0.37,6:00-22:00,2.25,49,Greenlots,22,CCS,2011,No,3.8,6,Annually
EVS00735,55.732536,37.565003,"1876 Moscow Ave, Moscow",AC Level 2,0.45,9:00-18:00,10.0,63,Tesla,50,"Type 2, CHAdeMO",2021,No,3.4,6,Quarterly
EVS00736,52.440392,13.416436,"4408 Berlin Ave, Berlin",AC Level 1,0.29,9:00-18:00,16.58,89,Tesla,350,Tesla,2020,Yes,3.6,2,Monthly
EVS00737,37.703979,-122.410465,"1136 San Francisco Ave, San Francisco",AC Level 1,0.18,6:00-22:00,2.1,85,Ionity,350,Tesla,2010,Yes,4.0,8,Quarterly
EVS00738,37.510422,126.930998,"7735 Seoul Ave, Seoul",AC Level 2,0.42,6:00-22:00,7.0,54,Ionity,22,"CCS, Tesla",2011,No,3.6,4,Monthly
EVS00739,19.106153,72.906536,"6946 Mumbai Ave, Mumbai",AC Level 1,0.29,6:00-22:00,8.09,89,Greenlots,22,"CCS, Tesla",2021,Yes,3.5,5,Quarterly
EVS00740,41.90781,-87.617358,"3484 Chicago Ave, Chicago",AC Level 2,0.45,9:00-18:00,9.03,18,Greenlots,150,"Type 2, Tesla",2021,No,4.1,3,Quarterly
EVS00741,-46.565147,71.345476,"3219 Random Rd, City 257, Country",AC Level 1,0.35,9:00-18:00,6.71,14,Greenlots,350,"CHAdeMO, Type 2",2021,No,4.5,10,Monthly
EVS00742,52.440242,13.414426,"7600 Berlin Ave, Berlin",AC Level 1,0.17,9:00-18:00,14.21,20,Tesla,150,"Tesla, Type 2",2020,Yes,4.3,1,Monthly
EVS00743,34.061764,-118.336829,"1294 Los Angeles Ave, Los Angeles",DC Fast Charger,0.29,9:00-18:00,8.08,98,EVgo,22,CHAdeMO,2015,Yes,3.4,7,Quarterly
EVS00744,52.555851,13.468756,"8550 Berlin Ave, Berlin",DC Fast Charger,0.33,24/7,14.94,41,Greenlots,50,CHAdeMO,2020,Yes,3.8,5,Quarterly
EVS00745,13.858178,100.532609,"7270 Bangkok Ave, Bangkok",DC Fast Charger,0.17,6:00-22:00,6.51,61,EVgo,350,"CHAdeMO, CCS",2014,No,3.8,7,Quarterly
EVS00746,37.706375,-122.344045,"6412 San Francisco Ave, San Francisco",DC Fast Charger,0.25,6:00-22:00,17.95,69,ChargePoint,22,"Type 2, CCS",2018,Yes,3.7,7,Quarterly
EVS00747,43.644046,-79.417113,"9183 Toronto Ave, Toronto",AC Level 2,0.26,24/7,11.18,19,Ionity,22,Tesla,2020,Yes,3.1,4,Annually
EVS00748,34.075727,-118.271967,"6135 Los Angeles Ave, Los Angeles",AC Level 2,0.15,9:00-18:00,16.05,96,Greenlots,350,"Tesla, CHAdeMO",2012,No,4.8,3,Monthly
EVS00749,13.703215,100.589598,"4237 Bangkok Ave, Bangkok",AC Level 2,0.13,24/7,10.78,88,ChargePoint,50,CCS,2023,No,4.5,4,Quarterly
EVS00750,55.858327,37.66935,"7398 Moscow Ave, Moscow",DC Fast Charger,0.23,24/7,10.72,33,Ionity,22,CCS,2019,No,3.9,3,Annually
EVS00751,5.478485,157.97671,"5270 Random Rd, City 355, Country",DC Fast Charger,0.48,24/7,1.21,81,ChargePoint,150,Tesla,2017,No,3.9,5,Quarterly
EVS00752,41.824044,-87.680113,"7211 Chicago Ave, Chicago",AC Level 2,0.2,9:00-18:00,7.34,22,ChargePoint,350,CHAdeMO,2022,No,3.6,9,Quarterly
EVS00753,43.788528,-79.353823,"9964 Toronto Ave, Toronto",AC Level 1,0.38,9:00-18:00,19.15,88,Greenlots,150,CCS,2013,Yes,3.6,9,Monthly
EVS00754,37.770785,-122.406383,"1258 San Francisco Ave, San Francisco",DC Fast Charger,0.33,24/7,4.97,57,ChargePoint,50,"CCS, Tesla",2021,No,3.8,10,Monthly
EVS00755,52.440623,13.442743,"8636 Berlin Ave, Berlin",AC Level 1,0.16,6:00-22:00,6.09,34,Greenlots,150,Tesla,2021,Yes,5.0,1,Monthly
EVS00756,52.596292,13.323901,"4543 Berlin Ave, Berlin",AC Level 1,0.28,24/7,14.69,91,EVgo,350,"Type 2, CCS",2016,Yes,3.2,5,Annually
EVS00757,41.991458,-87.688067,"1007 Chicago Ave, Chicago",DC Fast Charger,0.37,9:00-18:00,7.69,75,Tesla,50,"Type 2, CHAdeMO",2010,Yes,3.7,5,Quarterly
EVS00758,-33.82899,18.417974,"603 Cape Town Ave, Cape Town",AC Level 2,0.33,9:00-18:00,2.63,39,ChargePoint,50,"CHAdeMO, Type 2",2019,Yes,3.4,3,Monthly
EVS00759,19.133879,72.994423,"5646 Mumbai Ave, Mumbai",DC Fast Charger,0.37,6:00-22:00,10.19,19,ChargePoint,350,Tesla,2016,Yes,3.9,8,Monthly
EVS00760,43.759847,-79.308078,"886 Toronto Ave, Toronto",AC Level 1,0.33,9:00-18:00,17.85,11,Tesla,22,"CCS, Tesla",2020,Yes,4.0,5,Monthly
EVS00761,35.01421,-68.761526,"6072 Random Rd, City 65, Country",AC Level 2,0.28,6:00-22:00,19.37,86,Tesla,350,"CHAdeMO, CCS",2013,No,3.9,10,Annually
EVS00762,37.591769,126.904405,"7786 Seoul Ave, Seoul",AC Level 2,0.2,24/7,10.72,26,Greenlots,350,CCS,2015,Yes,4.9,8,Monthly
EVS00763,55.707002,37.605486,"5059 Moscow Ave, Moscow",AC Level 2,0.46,24/7,17.73,43,ChargePoint,50,"Tesla, CCS",2018,No,3.8,4,Annually
EVS00764,37.61675,127.040771,"8882 Seoul Ave, Seoul",AC Level 2,0.41,24/7,8.18,45,EVgo,50,Tesla,2011,Yes,4.2,3,Annually
EVS00765,-33.817097,18.556206,"2996 Cape Town Ave, Cape Town",DC Fast Charger,0.16,6:00-22:00,14.76,41,Tesla,150,Type 2,2015,Yes,4.9,8,Monthly
EVS00766,34.128749,-118.365112,"6936 Los Angeles Ave, Los Angeles",AC Level 2,0.49,9:00-18:00,9.8,63,Greenlots,150,Type 2,2019,No,3.6,2,Annually
EVS00767,13.785824,100.410279,"9051 Bangkok Ave, Bangkok",AC Level 2,0.36,6:00-22:00,4.83,74,EVgo,150,Tesla,2013,No,3.1,2,Monthly
EVS00768,19.599894,-99.124141,"8606 Mexico City Ave, Mexico City",AC Level 1,0.42,24/7,18.7,24,ChargePoint,22,"CHAdeMO, CCS",2020,Yes,4.1,10,Annually
EVS00769,19.446297,-99.073658,"9100 Mexico City Ave, Mexico City",AC Level 2,0.41,24/7,1.03,34,ChargePoint,22,"CHAdeMO, Type 2",2021,Yes,3.8,7,Monthly
EVS00770,39.83285,116.345486,"468 Beijing Ave, Beijing",AC Level 2,0.27,6:00-22:00,8.61,59,EVgo,22,"Type 2, Tesla",2017,No,4.9,8,Quarterly
EVS00771,-82.853337,-171.878498,"5713 Random Rd, City 88, Country",AC Level 1,0.45,9:00-18:00,9.83,78,EVgo,350,Type 2,2012,No,3.9,10,Quarterly
EVS00772,34.063584,-118.343221,"7483 Los Angeles Ave, Los Angeles",AC Level 1,0.31,9:00-18:00,16.56,43,Greenlots,22,CCS,2023,No,4.4,5,Monthly
EVS00773,19.413336,-99.131058,"2976 Mexico City Ave, Mexico City",AC Level 2,0.42,6:00-22:00,19.43,95,Ionity,50,Type 2,2020,Yes,4.8,2,Monthly
EVS00774,-33.830571,151.277741,"278 Sydney Ave, Sydney",AC Level 2,0.37,24/7,5.6,18,EVgo,50,Type 2,2012,Yes,4.3,9,Monthly
EVS00775,39.96037,116.371395,"2031 Beijing Ave, Beijing",DC Fast Charger,0.44,9:00-18:00,10.64,38,Greenlots,350,"CCS, Type 2",2018,No,4.9,2,Quarterly
EVS00776,19.177961,72.817281,"9918 Mumbai Ave, Mumbai",AC Level 2,0.24,24/7,13.82,19,ChargePoint,150,CHAdeMO,2019,Yes,4.0,8,Quarterly
EVS00777,41.912689,-87.747618,"2841 Chicago Ave, Chicago",DC Fast Charger,0.15,24/7,9.31,54,EVgo,50,"CHAdeMO, CCS",2016,No,3.2,9,Annually
EVS00778,41.895793,-87.762216,"6612 Chicago Ave, Chicago",AC Level 2,0.37,24/7,6.31,76,ChargePoint,150,CCS,2013,No,3.2,2,Monthly
EVS00779,-33.769583,18.422214,"2634 Cape Town Ave, Cape Town",AC Level 1,0.32,24/7,10.69,19,ChargePoint,50,"CCS, Type 2",2017,No,3.2,7,Monthly
EVS00780,37.535743,126.962197,"6193 Seoul Ave, Seoul",DC Fast Charger,0.41,9:00-18:00,18.8,41,Greenlots,50,CCS,2017,Yes,4.9,8,Annually
EVS00781,-34.610485,75.731554,"6681 Random Rd, City 132, Country",AC Level 2,0.26,9:00-18:00,5.26,19,Greenlots,150,"CHAdeMO, Type 2",2014,No,3.1,3,Monthly
EVS00782,-33.824713,151.356865,"9996 Sydney Ave, Sydney",AC Level 1,0.11,9:00-18:00,18.46,57,Greenlots,22,Tesla,2017,No,4.7,9,Quarterly
EVS00783,-33.700145,151.306422,"8198 Sydney Ave, Sydney",AC Level 1,0.26,6:00-22:00,1.24,13,EVgo,150,Type 2,2019,Yes,4.4,5,Annually
EVS00784,43.688029,-79.494469,"4991 Toronto Ave, Toronto",AC Level 2,0.19,9:00-18:00,17.95,33,ChargePoint,150,"Tesla, CHAdeMO",2016,Yes,4.6,5,Monthly
EVS00785,55.817384,37.547222,"4042 Moscow Ave, Moscow",AC Level 2,0.19,9:00-18:00,5.25,57,EVgo,350,CHAdeMO,2022,No,4.9,5,Monthly
EVS00786,37.561417,127.086984,"460 Seoul Ave, Seoul",AC Level 2,0.43,6:00-22:00,4.71,14,EVgo,22,"Tesla, CCS",2013,Yes,4.2,6,Quarterly
EVS00787,39.944362,116.41808,"4589 Beijing Ave, Beijing",DC Fast Charger,0.44,6:00-22:00,12.93,46,ChargePoint,150,"CHAdeMO, Tesla",2023,No,4.6,8,Monthly
